Paper Name,Paper Author,Paper Key Words,Issue Date
Dictating the Risk: Experimental Evidence on Giving in Risky Environments: Reply,J. Michelle Brock;Andreas Lange;Erkut Y. Ozbay,"C72 Noncooperative Games;D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement;D64 Altruism; Philanthropy; Intergenerational Transfers;D81 Criteria for Decision-Making under Risk and Uncertainty","March 2016 (Vol. 106, No.3 )"
A Balls-and-Bins Model of Trade: Comment,Bernardo S. Blum;Sebastian Claro;Ignatius J. Horstmann,F11 Neoclassical Models of Trade;F14 Empirical Studies of Trade;O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;O19 International Linkages to Development; Role of International Organizations;Q37 Nonrenewable Resources and Conservation: Issues in International Trade,"March 2016 (Vol. 106, No.3 )"
A Balls-and-Bins Model of Trade: Reply,Roc Armenter;Mikls Koren,F11 Neoclassical Models of Trade;F14 Empirical Studies of Trade,"March 2016 (Vol. 106, No.3 )"
The Politics of Compromise,Alessandro Bonatti;Heikki Rantakari,"C78 Bargaining Theory; Matching Theory;D23 Organizational Behavior; Transaction Costs; Property Rights;D71 Social Choice; Clubs; Committees; Associations;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;L15 Information and Product Quality; Standardization and Compatibility","February 2016 (Vol. 106, No.2 )"
Poverty and Economic Decision-Making: Evidence from Changes in Financial Resources at Payday,Leandro S. Carvalho;Stephan Meier;Stephanie W. Wang,C83 Survey Methods; Sampling Methods;D14 Household Saving; Personal Finance;D81 Criteria for Decision-Making under Risk and Uncertainty;D91 Intertemporal Household Choice; Life Cycle Models and Saving;I32 Measurement and Analysis of Poverty,"February 2016 (Vol. 106, No.2 )"
On Communication and Collusion,Yu Awaya;Vijay Krishna,"C73 Stochastic and Dynamic Games; Evolutionary Games; Repeated Games;D43 Market Structure, Pricing, and Design: Oligopoly and Other Forms of Market Imperfection;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;L12 Monopoly; Monopolization Strategies;L13 Oligopoly and Other Imperfect Markets;L25 Firm Performance: Size, Diversification, and Scope","February 2016 (Vol. 106, No.2 )"
Anatomy of a Contract Change,Rajshri Jayaraman;Debraj Ray;Francis de Vricourt,"D82 Asymmetric and Private Information; Mechanism Design;D86 Economics of Contract: Theory;J33 Compensation Packages; Payment Methods;J41 Labor Contracts;J43 Agricultural Labor Markets;O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;Q12 Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets","February 2016 (Vol. 106, No.2 )"
Redistribution and Social Insurance,Mikhail Golosov;Maxim Troshkin;Aleh Tsyvinski,"D82 Asymmetric and Private Information; Mechanism Design;D91 Intertemporal Household Choice; Life Cycle Models and Saving;H21 Taxation and Subsidies: Efficiency; Optimal Taxation;H23 Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies;I38 Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs;J22 Time Allocation and Labor Supply;J24 Human Capital; Skills; Occupational Choice; Labor Productivity","February 2016 (Vol. 106, No.2 )"
Consumption Inequality and Family Labor Supply,Richard Blundell;Luigi Pistaferri;Itay Saporta-Eksten,D12 Consumer Economics: Empirical Analysis;D14 Household Saving; Personal Finance;D91 Intertemporal Household Choice; Life Cycle Models and Saving;J22 Time Allocation and Labor Supply;J31 Wage Level and Structure; Wage Differentials,"February 2016 (Vol. 106, No.2 )"
"Exchange Rates, Interest Rates, and the Risk Premium",Charles Engel,"E43 Interest Rates: Determination, Term Structure, and Effects;F31 Foreign Exchange;G15 International Financial Markets","February 2016 (Vol. 106, No.2 )"
The Housing Market Impacts of Shale Gas Development: Corrigendum,Lucija Muehlenbachs;Elisheba Spiller;Christopher Timmins,"L71 Mining, Extraction, and Refining: Hydrocarbon Fuels;Q35 Hydrocarbon Resources;Q53 Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling;R31 Housing Supply and Markets","February 2016 (Vol. 106, No.2 )"
Just Luck: An Experimental Study of Risk-Taking and Fairness: Erratum,Alexander W. Cappelen;James Konow;Erik . Srensen;Bertil Tungodden,"D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement;D81 Criteria for Decision-Making under Risk and Uncertainty;H23 Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies","February 2016 (Vol. 106, No.2 )"
Betting on Secession: Quantifying Political Events Surrounding Slavery and the Civil War,Charles W. Calomiris;Jonathan Pritchett,"D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;D74 Conflict; Conflict Resolution; Alliances; Revolutions;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;G14 Information and Market Efficiency; Event Studies; Insider Trading;H77 Intergovernmental Relations; Federalism; Secession;N31 Economic History: Labor and Consumers, Demography, Education, Health, Welfare, Income, Wealth, Religion, and Philanthropy: U.S.; Canada: Pre-1913;N41 Economic History: Government, War, Law, International Relations, and Regulation: U.S.; Canada: Pre-1913","January 2016 (Vol. 106, No.1 )"
Generalized Social Marginal Welfare Weights for Optimal Tax Theory,Emmanuel Saez;Stefanie Stantcheva,"D60 Welfare Economics: General;D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement;H21 Taxation and Subsidies: Efficiency; Optimal Taxation;H23 Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies;I38 Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs","January 2016 (Vol. 106, No.1 )"
"Networks and Misallocation: Insurance, Migration, and the Rural-Urban Wage Gap",Kaivan Munshi;Mark Rosenzweig,"G22 Insurance; Insurance Companies; Actuarial Studies;J31 Wage Level and Structure; Wage Differentials;J61 Geographic Labor Mobility; Immigrant Workers;O15 Economic Development: Human Resources; Human Development; Income Distribution; Migration;O18 Economic Development: Urban, Rural, Regional, and Transportation Analysis; Housing; Infrastructure;R23 Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics;Z13 Economic Sociology; Economic Anthropology; Social and Economic Stratification","January 2016 (Vol. 106, No.1 )"
The Market Impacts of Pharmaceutical Product Patents in Developing Countries: Evidence from India,Mark Duggan;Craig Garthwaite;Aparajita Goyal,"K33 International Law;L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L13 Oligopoly and Other Imperfect Markets;L65 Chemicals; Rubber; Drugs; Biotechnology;O14 Industrialization; Manufacturing and Service Industries; Choice of Technology;O34 Intellectual Property and Intellectual Capital;O38 Technological Change: Government Policy","January 2016 (Vol. 106, No.1 )"
Patents and the Global Diffusion of New Drugs,Iain M. Cockburn;Jean O. Lanjouw;Mark Schankerman,"I18 Health: Government Policy; Regulation; Public Health;L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L51 Economics of Regulation;L65 Chemicals; Rubber; Drugs; Biotechnology;O31 Innovation and Invention: Processes and Incentives;O33 Technological Change: Choices and Consequences; Diffusion Processes;O34 Intellectual Property and Intellectual Capital","January 2016 (Vol. 106, No.1 )"
Are Sticky Prices Costly? Evidence from the Stock Market,Yuriy Gorodnichenko;Michael Weber,"E12 General Aggregative Models: Keynes; Keynesian; Post-Keynesian;E31 Price Level; Inflation; Deflation;E43 Interest Rates: Determination, Term Structure, and Effects;E44 Financial Markets and the Macroeconomy;E52 Monetary Policy;G12 Asset Pricing; Trading Volume; Bond Interest Rates;L11 Production, Pricing, and Market Structure; Size Distribution of Firms","January 2016 (Vol. 106, No.1 )"
"Real Rigidity, Nominal Rigidity, and the Social Value of Information",George-Marios Angeletos;Luigi Iovino;Jennifer La'O,D21 Firm Behavior: Theory;D82 Asymmetric and Private Information; Mechanism Design;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;E32 Business Fluctuations; Cycles;E52 Monetary Policy,"January 2016 (Vol. 106, No.1 )"
Capital Tax Reform and the Real Economy: The Effects of the 2003 Dividend Tax Cut,Danny Yagan,"C72 Noncooperative Games;C78 Bargaining Theory; Matching Theory;C91 Design of Experiments: Laboratory, Individual","December 2015 (Vol. 105, No.12 )"
Market Externalities of Large Unemployment Insurance Extension Programs,Rafael Lalive;Camille Landais;Josef Zweimller,"E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;J64 Unemployment: Models, Duration, Incidence, and Job Search;J65 Unemployment Insurance; Severance Pay; Plant Closings;R23 Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics","December 2015 (Vol. 105, No.12 )"
Media Influences on Social Outcomes: The Impact of MTV's 16 and Pregnant on Teen Childbearing,Melissa S. Kearney;Phillip B. Levine,D12 Consumer Economics: Empirical Analysis;J13 Fertility; Family Planning; Child Care; Children; Youth;J16 Economics of Gender; Non-labor Discrimination;L82 Entertainment; Media;Z13 Economic Sociology; Economic Anthropology; Social and Economic Stratification,"December 2015 (Vol. 105, No.12 )"
The Housing Market Impacts of Shale Gas Development,Lucija Muehlenbachs;Elisheba Spiller;Christopher Timmins,"L71 Mining, Extraction, and Refining: Hydrocarbon Fuels;Q35 Hydrocarbon Resources;Q53 Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling;R31 Housing Supply and Markets","December 2015 (Vol. 105, No.12 )"
Imported Inputs and Productivity,Lszl Halpern;Mikls Koren;Adam Szeidl,"D24 Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity;F13 Trade Policy; International Trade Organizations;F14 Empirical Studies of Trade;L60 Industry Studies: Manufacturing: General","December 2015 (Vol. 105, No.12 )"
"R&D, International Sourcing, and the Joint Impact on Firm Performance",Esther Ann Bler;Andreas Moxnes;Karen Helene Ulltveit-Moe,"D92 Intertemporal Firm Choice: Investment, Capacity, and Financing;F14 Empirical Studies of Trade;G31 Capital Budgeting; Fixed Investment and Inventory Studies; Capacity;H25 Business Taxes and Subsidies including sales and value-added (VAT);L25 Firm Performance: Size, Diversification, and Scope;O32 Management of Technological Innovation and R&D;O33 Technological Change: Choices and Consequences; Diffusion Processes","December 2015 (Vol. 105, No.12 )"
A Seniority Arrangement for Sovereign Debt,Satyajit Chatterjee;Burcu Eyigungor,E32 Business Fluctuations; Cycles;E44 Financial Markets and the Macroeconomy;F34 International Lending and Debt Problems;G15 International Financial Markets;H63 National Debt; Debt Management; Sovereign Debt;O16 Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance;O19 International Linkages to Development; Role of International Organizations,"December 2015 (Vol. 105, No.12 )"
"Feedback Effects, Asymmetric Trading, and the Limits to Arbitrage",Alex Edmans;Itay Goldstein;Wei Jiang,D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;G12 Asset Pricing; Trading Volume; Bond Interest Rates;G14 Information and Market Efficiency; Event Studies; Insider Trading,"December 2015 (Vol. 105, No.12 )"
"Human Capital Risk, Contract Enforcement, and the Macroeconomy",Tom Krebs;Moritz Kuhn;Mark L. J. Wright,D14 Household Saving; Personal Finance;D91 Intertemporal Household Choice; Life Cycle Models and Saving;G22 Insurance; Insurance Companies; Actuarial Studies;J13 Fertility; Family Planning; Child Care; Children; Youth;J24 Human Capital; Skills; Occupational Choice; Labor Productivity,"November 2015 (Vol. 105, No.11 )"
Optimal Annuitization with Stochastic Mortality and Correlated Medical Costs,Felix Reichling;Kent Smetters,D14 Household Saving; Personal Finance;D82 Asymmetric and Private Information; Mechanism Design;G23 Pension Funds; Non-bank Financial Institutions; Financial Instruments; Institutional Investors;I12 Health Behavior;J14 Economics of the Elderly; Economics of the Handicapped; Non-labor Market Discrimination;J26 Retirement; Retirement Policies,"November 2015 (Vol. 105, No.11 )"
Exclusive Contracts and Market Dominance,Giacomo Calzolari;Vincenzo Denicol,"D21 Firm Behavior: Theory;D43 Market Structure, Pricing, and Design: Oligopoly and Other Forms of Market Imperfection;D82 Asymmetric and Private Information; Mechanism Design;D86 Economics of Contract: Theory;K21 Antitrust Law;L13 Oligopoly and Other Imperfect Markets;L40 Antitrust Issues and Policies: General","November 2015 (Vol. 105, No.11 )"
Fiscal Volatility Shocks and Economic Activity,Jess Fernndez-Villaverde;Pablo Guerrn-Quintana;Keith Kuester;Juan Rubio-Ramrez,E12 General Aggregative Models: Keynes; Keynesian; Post-Keynesian;E23 Macroeconomics: Production;E32 Business Fluctuations; Cycles;E52 Monetary Policy;E62 Fiscal Policy,"November 2015 (Vol. 105, No.11 )"
Estimating Neighborhood Choice Models: Lessons from a Housing Assistance Experiment,Sebastian Galiani;Alvin Murphy;Juan Pantano,"I32 Measurement and Analysis of Poverty;I38 Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs;R23 Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics;R38 Production Analysis and Firm Location: Government Policy","November 2015 (Vol. 105, No.11 )"
Conveniently Upset: Avoiding Altruism by Distorting Beliefs about Others' Altruism,Rafael Di Tella;Ricardo Perez-Truglia;Andres Babino;Mariano Sigman,"C72 Noncooperative Games;D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement;D64 Altruism; Philanthropy;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness","November 2015 (Vol. 105, No.11 )"
Optimal Taxation and Debt with Uninsurable Risks to Human Capital Accumulation,Piero Gottardi;Atsushi Kajii;Tomoyuki Nakajima,D52 Incomplete Markets;H21 Taxation and Subsidies: Efficiency; Optimal Taxation;H24 Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes;H25 Business Taxes and Subsidies including sales and value-added (VAT);H63 National Debt; Debt Management; Sovereign Debt;J24 Human Capital; Skills; Occupational Choice; Labor Productivity,"November 2015 (Vol. 105, No.11 )"
Reputation and School Competition,W. Bentley MacLeod;Miguel Urquiola,I21 Analysis of Education;I23 Higher Education; Research Institutions;I26 Returns to Education;J24 Human Capital; Skills; Occupational Choice; Labor Productivity,"November 2015 (Vol. 105, No.11 )"
Psychological Frictions and the Incomplete Take-Up of Social Benefits: Evidence from an IRS Field Experiment,Saurabh Bhargava;Dayanand Manoli,C93 Field Experiments;D03 Behavioral Microeconomics: Underlying Principles;H24 Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes;M38 Marketing and Advertising: Government Policy and Regulation,"November 2015 (Vol. 105, No.11 )"
Averting Catastrophes: The Strange Economics of Scylla and Charybdis,Ian W. R. Martin;Robert S. Pindyck,D61 Allocative Efficiency; Cost-Benefit Analysis;Q51 Valuation of Environmental Effects;Q54 Climate; Natural Disasters and Their Management; Global Warming,"October 2015 (Vol. 105, No.10 )"
Disability Insurance and the Dynamics of the Incentive Insurance Trade-Off,Hamish Low;Luigi Pistaferri,D14 Household Saving; Personal Finance;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J65 Unemployment Insurance; Severance Pay; Plant Closings,"October 2015 (Vol. 105, No.10 )"
Efficient Firm Dynamics in a Frictional Labor Market,Leo Kaas;Philipp Kircher,"E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;J64 Unemployment: Models, Duration, Incidence, and Job Search;L11 Production, Pricing, and Market Structure; Size Distribution of Firms","October 2015 (Vol. 105, No.10 )"
"Technical Change, Wage Inequality, and Taxes",Laurence Ales;Musab Kurnaz;Christopher Sleet,"D31 Personal Income, Wealth, and Their Distributions;H21 Taxation and Subsidies: Efficiency; Optimal Taxation;H23 Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies;H24 Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes;J31 Wage Level and Structure; Wage Differentials;O33 Technological Change: Choices and Consequences; Diffusion Processes","October 2015 (Vol. 105, No.10 )"
Non-Optimal Mechanism Design,Jason D. Hartline;Brendan Lucier,D82 Asymmetric and Private Information; Mechanism Design;H82 Governmental Property;L82 Entertainment; Media,"October 2015 (Vol. 105, No.10 )"
Delinking Land Rights from Land Use: Certification and Migration in Mexico,Alain de Janvry;Kyle Emerick;Marco Gonzalez-Navarro;Elisabeth Sadoulet,O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;O17 Formal and Informal Sectors; Shadow Economy; Institutional Arrangements;P14 Capitalist Systems: Property Rights;Q15 Land Ownership and Tenure; Land Reform; Land Use; Irrigation; Agriculture and Environment;Q18 Agricultural Policy; Food Policy;Q24 Renewable Resources and Conservation: Land;Q28 Renewable Resources and Conservation: Government Policy,"October 2015 (Vol. 105, No.10 )"
The Next Generation of the Penn World Table,Robert C. Feenstra;Robert Inklaar;Marcel P. Timmer,"C43 Index Numbers and Aggregation; Leading indicators;C82 Methodology for Collecting, Estimating, and Organizing Macroeconomic Data; Data Access;E01 Measurement and Data on National Income and Product Accounts and Wealth; Environmental Accounts;E23 Macroeconomics: Production;I31 General Welfare; Well-Being;O47 Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence","October 2015 (Vol. 105, No.10 )"
"Competition, Markups, and the Gains from International Trade",Chris Edmond;Virgiliu Midrigan;Daniel Yi Xu,"D43 Market Structure, Pricing, and Design: Oligopoly and Other Forms of Market Imperfection;F12 Models of Trade with Imperfect Competition and Scale Economies; Fragmentation;F14 Empirical Studies of Trade;L13 Oligopoly and Other Imperfect Markets;L60 Industry Studies: Manufacturing: General;O47 Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence","October 2015 (Vol. 105, No.10 )"
Has Consumption Inequality Mirrored Income Inequality?,Mark Aguiar;Mark Bils,"D31 Personal Income, Wealth, and Their Distributions;D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement;E21 Macroeconomics: Consumption; Saving; Wealth","September 2015 (Vol. 105, No.9 )"
"Education, HIV, and Early Fertility: Experimental Evidence from Kenya",Esther Duflo;Pascaline Dupas;Michael Kremer,I12 Health Behavior;I18 Health: Government Policy; Regulation; Public Health;I21 Analysis of Education;J13 Fertility; Family Planning; Child Care; Children; Youth;J16 Economics of Gender; Non-labor Discrimination;O15 Economic Development: Human Resources; Human Development; Income Distribution; Migration,"September 2015 (Vol. 105, No.9 )"
The Welfare Economics of Default Options in 401(k) Plans,B. Douglas Bernheim;Andrey Fradkin;Igor Popov,D14 Household Saving; Personal Finance;D91 Intertemporal Household Choice; Life Cycle Models and Saving;J26 Retirement; Retirement Policies;J32 Nonwage Labor Costs and Benefits; Retirement Plans; Private Pensions,"September 2015 (Vol. 105, No.9 )"
